"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5440898093056","53.1467331604112","55.2483164211301","56.2488365205016","56.9038119403591","57.9939237596959","58.5567746352289","60.7168325839295","58.8085238310865","61.1945761079617","62.9377961347798","65.8418983447734","66.6152998481557","66.7841357528408","65.9995838341491","66.9954424988538","68.8594951507998","70.6439500722655","71.5197817303813","72.5535734217005","74.0541961532404","75.483124273239","75.8478091459409","79.6611032327607","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4","74.8","76.1","77.5","78.8","74","81.6","83","89.9","85.9","82.8","86.6","95","92.2","98.7","92.5","99.5","99.5","98.8","99.5","99.5","99.5","95.9","96","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.3692645477522","76.401550292166","76.2106625954922","73.0971960826453","72.4986133511212","73.0992017280917","72.8824194561972","71.5153674804252","72.2551805636279","72.3187530080167","73.3702485783984","73.3447482091733","74.0442802881429","74.8095024952194","76.2471432655131","75.6844222061204","75.6195871134796","74.2488394640776","79.4385170986491","78.9227486791028","78.8754472808621","79.8783857406709","78.3203638555306","81.6332531539505","82.5811441325837","80.289328243755","82.7314704889664","83.3903959685216","86.6824434147369","86.795386049473","84.9177420777947","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9","30","47.7","49","50.4","51.8","53.3","66.1","61.3","57.7","73.6","82.5","70.3","68.6","51","64","67.9","69.4","65.3","72.2","73.6","75","76.2","77.9","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","96.1","96.3","96.6","96.8","97.1","97.4","97.7","98","98.3","98.7","99.1","99.5","99.9","99.9","100","100","100","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.13619756938","94.1726873588353","94.2170948703854","94.428793186074","94.5928884359552","94.5064516066464","95.3218842185744","95.0174938542196","94.3306952764798","94.9789185229787","96.8449276550687","96.9986903097473","96.9915782714133","97.2528015456035","97.2346072492867","97.1035516072292","97.2796275694919","97.3802416688445","96.9414889782264","97.4488066318332","97.5180292163226","97.5687209536627","97.8934509361384","98.1700455834817","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.2","96.3","96.5","96.7","96.9","97.1","97.3","97.6","97.9","98.2","98.8","99.2","99.4","99.7","100","99.9","100","100","100","100","100","100","100","100","",
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1","99.3","99.2","99.2","99.2","99.9","99.2","99.3","99.4","99.4","99.7","99.6","99.7","99.4","99.7","100","99.8","99.8","99.9","100","100","99.9","100","100","",
"American Samoa","ASM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9","99.9","100","100","100","100","99.9","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5551452636719","99.7","99.5","99.5","99.5","99.5","99.6","99.8","99.7","99.8","99.9","100","99.9","100","100","100","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","50.5398025512695","49.6","49.9","50.2","50.5","50.8","45","51.5","51.8","39.6","52.6","49","53.4","58.5","52.4","52.1","56.5","57.6","61.8","59.8","60.8","60.5","62.8","64","65","",
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","44.7813873291016","45.7014350891113","46.6010475158691","47.5","49.6","49.2","50.1","51","51.9","56.6","53.8","54.7","55.7","65.4","67","68.6","61","55.8","51.7","62.5","54.2","64.3","65.2","66.1","67","71.1","70.3","",
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","33.4402618408203","34.6333847045898","35.8138656616211","36.9785537719727","38.1242828369141","39.7","40.4","41.5","42.6","52.4","44.8","45.9","47","48.2","49.4","44.4","48.5","53.1","54.3","55.5","58.4","58.2","59.7","61.4","62.3","64.6","66.1","67.6","60.5","62.6","",
